question,answer_llm,answer_orig,document
Will the live session video link be shared somewhere before it starts?,"Yes. The video URL should be posted in the announcements channel on Telegram and Slack before the session begins, and you can also watch it live on the DataTalksClub YouTube Channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I post my questions in the chat during the stream, or is there a better place to send them?","Don’t post questions in the chat during the stream, as they may be missed.

Use **Slido** instead — the link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I begin if I just joined LLM Zoomcamp and want to keep up with the weekly work?,"Start with the **LLM Zoomcamp docs**, the **Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

A typical weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform before the deadline  

You can also track the syllabus, deadlines, homework, and your progress on the **LLM Zoomcamp course management platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual way to study each week in the course — videos first, then notebooks, then homework?","A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

So yes — videos first, then notebooks/code, then homework.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start on a fixed date, or can I join the course whenever I want?","You can join whenever you want — there’s no fixed start date required. The course materials and videos are available, and you can start learning and submitting homework while the submission form is open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where can I find the deadlines and submit my homework answers for LLM Zoomcamp?,"You can find the deadlines in the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

You should **submit your homework answers there as well**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use a different dataset/task?","Homework is similar to the lesson workflow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name anywhere?,"Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry.

When you created your account, you were assigned a random display name like **“Lucid Elbakyan.”** If you want to check or change that name, open **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why do I show up under a random name on the leaderboard, and can I change it?","You show up under a random name because the course automatically assigns each account a random public display name on the leaderboard, like “Lucid Elbakyan.”

Yes, you can change it:

- Go to **Edit Course Profile**
- **First field**: your public nickname/display name for the leaderboard
- **Second field**: your official name for your certificate

So if you want, you can replace the random leaderboard name with your own nickname, Slack username, or GitHub username.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is for the course?,You can check it in **“Edit Course Profile”** — that’s where your **Display name / nickname** is shown.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What’s the difference between the nickname field and the official name field in my course profile?,"The **first field** in your course profile is your **public nickname/display name** shown on the leaderboard. It can be a nickname, Slack/GitHub username, etc., and is anonymous by default.

The **second field** is your **official name** for your certificate. This should match your identification documents and will appear on the certificate, not publicly on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my certificate shows my real name instead of the default one?,"Go to **Edit Course Profile** and set the **second field** to your official real name. The **first field** is just your public leaderboard nickname.

The certificate name is **not public** and will appear on your certificate instead of the default name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course on my own schedule and still get the certificate?,"No. You can follow the course in self-paced mode, but you won’t get a certificate unless you finish with a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do you give certificates to people who do the self-paced version?,No — we don’t award certificates for the self-paced mode. You can only get a certificate if you finish the course with a live cohort.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn't there a certificate if I go through the course later by myself?,"You don’t get a certificate in self-paced mode because the course requires a live cohort to complete the peer-review part of the capstone. Certificates are only awarded when you finish the course with a live cohort, since peer-review is only possible while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to join a live cohort to qualify for the certificate?,"Yes. To qualify for the certificate, you need to finish the course with a live cohort. Self-paced mode does not qualify for a certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is the peer-review part required for the certificate, or can I skip it if I study solo?","Yes — the peer-review part is required for the certificate. If you study solo in self-paced mode, you can’t get a certificate, because certificates are only awarded for the live cohort and you must peer-review 3 capstones.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I skipped the first homework, can I still earn the course certificate?","Yes. You can still earn the course certificate even if you skipped the first homework. You just need to pass the Capstone project; homework is not mandatory, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to complete every homework assignment to get certified?,No. Homework is not mandatory for certification — you need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the Capstone project the only requirement for the certificate?,"No. To get the certificate, you need to **pass the Capstone project** and, since the course runs live, also **complete the required peer reviews** of 3 other capstones. Homework is **not mandatory**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What happens if I miss some homework in this course?,I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework points required for the certificate, or just for the leaderboard?","Homework points are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional** and its points count only toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing while I’m trying to work on it?,"If the homework title contains `[DRAFT]`, it means it is not ready yet.

The homework is only ready when both are true:

- the homework form is open on the course management platform
- the homework title does not contain `[DRAFT]`

Until then, the content can still change. Working on it early is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How do I know if a homework assignment is actually ready and not still being edited?,"A homework assignment is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If the title contains `[DRAFT]`, it is still being edited and can change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] label in the homework title mean?,It means the homework is not ready yet. The content can still change until the homework form is open and the title no longer contains `[DRAFT]`.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If the homework form is already open, does that mean the assignment is finalized?","No. The homework is only considered ready when **both** of these are true:

- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`.

So if the form is open, that alone does **not** mean the assignment is finalized.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start homework early before the final version is posted?,"Working on homework early is **at your own risk**. The content can still change until the homework is ready, which is only when:

- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`.

So it’s not guaranteed to be safe before the final version is posted.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will run?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the next course offering starts?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next available session for this course?,The next available session is **Summer 2027**.,Summer 2027.,bd31146b0e
Is there a date for the upcoming run of the course?,I don't know.,Summer 2027.,bd31146b0e
When can I expect this course to be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course videos or lectures for this zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant **videos linked at the top**. If there’s any confusion, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should open first to get to the lesson videos?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there first. Each lesson page has the relevant videos linked at the top. If you’re unsure, follow the GitHub repo rather than the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the lesson links?","Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the lesson folders there — each lesson page has the relevant video links at the top.

So, you **don’t need to rely on the YouTube playlist**; the GitHub repo is the better place to find and keep up with lesson links.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the videos for each lesson in the LLM Zoomcamp materials?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo. Each lesson page has the relevant **video links at the top**. If anything is unclear, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"If I’m lost, what’s the easiest place to start looking for the lecture recordings?","The easiest place to start is the **LLM Zoomcamp docs**:

- https://datatalks.club/docs/courses/llm-zoomcamp/

You can also check the **general Zoomcamp logistics docs** and the **LLM Zoomcamp GitHub repository**:

- https://datatalks.club/docs/courses/zoomcamp-logistics/
- https://github.com/DataTalksClub/llm-zoomcamp

The videos and GitHub materials are available there.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort info?,"You can check the LLM Zoomcamp syllabus and current cohort info on the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the best place to follow homework deadlines and my progress in LLM Zoomcamp?,"The best place is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **homework, deadlines, current cohort structure, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for tracking all the LLM Zoomcamp materials and due dates?,"Yes — use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How can I keep up with the Zoomcamp structure, assignments, and progress in one place?","Use the **LLM Zoomcamp course management platform** to keep track of the structure, homework, deadlines, and progress in one place:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s the main place for the current cohort’s workflow, similar to other DataTalks.Club Zoomcamps.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Do we use a management site for LLM Zoomcamp like the other DataTalks.Club courses?,"Yes — LLM Zoomcamp uses a course management platform like the other DataTalks.Club Zoomcamps.

You can track the syllabus, deadlines, homework, and progress here:
https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get a live session or office hour for every module in the course, or is everything just pre-recorded?","No separate live session or office hour is provided for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions happen separately when announced. If you need help, you can ask in Slack.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help—Slack, office hours, or somewhere else?","Ask in Slack and follow the asking questions guidelines. There aren’t separate live sessions for each module by default, but live sessions/office hours are announced separately when they happen.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions part of the regular course schedule, or only announced occasionally?","Live sessions are **not part of the regular schedule by default**. The course materials are **pre-recorded**, and any live sessions are **announced separately when they happen**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any optional paid support with Zoom office hours if I want more structure while taking the course?,"Yes. Optional extra support is available through **AI Shipping Labs**, a **paid community** that includes **regular Zoom office hours** and **additional structure**. The main course content remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
