question,document
Is LangChain being avoided in the course because it’s not important for RAG apps?,b7cdde6b25
Do I really need to understand the basics first before I can use LangChain effectively?,b7cdde6b25
"How is learning the core RAG pieces on our own similar to learning HTML, CSS, and JavaScript before React or Angular?",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59
What does it mean if OpenAI returns an Insufficient credits error on responses.create?,f5df151c59
How can I fix the error that appears when using OpenAI responses.create and it says I don’t have enough credits?,f5df151c59
Why is my OpenAI responses.create call not working and showing an insufficient credits message?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI, even though my code looks fine?",152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
How can I fix the 'you exceeded your current quota' error on platform.openai.com?,152af39a53
"After I add credits, do I need to change anything in my Python code or API key?",152af39a53
What should I check if responses.create with gpt-4o still fails after I top up my account?,152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money on OpenAI API calls in this module?,554d0eb78b
"What's the minimum I have to add to my OpenAI account, and is that enough for the course?",554d0eb78b
"Can I get started with the OpenAI API with just a small recharge, like $5?",554d0eb78b
"Will normal API usage for the course be expensive, or is it just tiny fractions of a cent?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?",85384a18e5
"If I don't want to subscribe to OpenAI, what alternatives does the course recommend for the assignments?",85384a18e5
Can I complete the llm-zoomcamp homework without buying access to OpenAI's API?,85384a18e5
Where can I find the list of low-cost or free API alternatives mentioned in the course repo?,85384a18e5
"Is OpenAI API required for Module 1 RAG tasks, or can I use something else?",85384a18e5
Why do we use uv in the course instead of just pip and virtualenv?,f81dea8f7e
What does uv actually replace in a Python setup?,f81dea8f7e
"Do I have to use uv, or can I still stick with pip and virtualenv?",f81dea8f7e
Why is uv considered better for managing dependencies and environments?,f81dea8f7e
How does uv make the course setup simpler than the usual Python tools?,f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing?,86d99bbf21
How do I load my .env file in a notebook before creating the OpenAI client?,86d99bbf21
Do I need python-dotenv for OPENAI_API_KEY to work in Jupyter?,86d99bbf21
What should I check if the API key variable is still not being detected?,86d99bbf21
Is the env variable name supposed to be OPENAI_API_KEY exactly?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python for this course?,233dabe430
"What’s the easiest way to store OpenAI, Groq, or Gemini keys locally without hardcoding them?",233dabe430
Do I need to add .env to .gitignore before using python-dotenv in the RAG module?,233dabe430
What package should I install to read environment variables from a .env file?,233dabe430
How can I access OPENAI_API_KEY and GROQ_API_KEY from a .env file in my script?,233dabe430
"Can I switch to a different LLM provider for the homework, or do I have to use the one from the instructions?",ee43413718
"Is it okay to do the assignment with Gemini, Groq, OpenRouter, Azure OpenAI, or a local model instead of the recommended one?",ee43413718
"Do I need a paid API service to finish this homework, or is there a way to do it for free?",ee43413718
"If I use another model provider, what parts of the code might I need to change?",ee43413718
Where can I find a list of OpenAI API alternatives for the course?,ee43413718
How can I set up Gemini in the Module 1 notebook with the OpenAI-compatible URL and an API key from my .env file?,0ae5c221b9
What do I need before I can call Google Gemini through an OpenAI client in the RAG notebook?,0ae5c221b9
How do I write the llm helper for Gemini if I want to use chat.completions instead of the newer Responses API?,0ae5c221b9
Why does the Module 1 notebook need changes when I switch from OpenAI-style Responses to Gemini's compatible chat completions endpoint?,0ae5c221b9
"Which model name should I pass when I use Gemini in the course notebook, and where do I put the key and base URL?",0ae5c221b9
How do I get a Pydantic-style parsed result from Gemini if `responses.parse` isn’t supported on the OpenAI-compatible URL?,341f71f28c
What’s the easiest way to make Gemini return structured objects with the OpenAI Python SDK instead of plain JSON?,341f71f28c
"Can I use `chat.completions.parse` with Gemini on the OpenAI endpoint, and what does the code look like?",341f71f28c
How should I define the schema if I want Gemini to output a list of FAQ questions and answers as typed objects?,341f71f28c
Why does the chat-completions parsing flow work better here than the newer Responses API when using Gemini through OpenAI compatibility?,341f71f28c
"How do I get Ollama set up on my machine, and is there a different install step for Mac, Windows, and Linux?",1d0b969028
"After installing Ollama, what command should I run first to download and launch a local model?",1d0b969028
How can I quickly check if the Ollama server is actually running on my computer?,1d0b969028
What do I need to install in Python if I want to use Ollama from a script?,1d0b969028
Can you show a simple Python example for sending a prompt to Ollama and printing the reply?,1d0b969028
How do I fix a connection refused error when I’m prompting Ollama in the RAG homework?,c6fc2d4d11
My Ollama RAG notebook says connection refused — do I need to restart the Ollama server?,c6fc2d4d11
What should I run again if Ollama stops and I get a connection refused error in the assignment?,c6fc2d4d11
Is there a command to bring Ollama back up after a connection refused issue in the notebook?,c6fc2d4d11
"If I restart the notebook, do I also need to rerun the cell that starts ollama serve?",c6fc2d4d11
Why does my `tiktoken` count not match the token usage OpenAI shows in the API response?,bf0403d21b
I’m getting fewer tokens from `encode()` than OpenAI reports for the same chat prompt — is that normal?,bf0403d21b
Where do the extra tokens come from when I send messages with `chat.completions.create()`?,bf0403d21b
"Can whitespace, line breaks, or weird Unicode characters make OpenAI count more tokens than I expect?",bf0403d21b
Why does a prompt that looks like 320 tokens end up as 327 tokens in OpenAI’s usage stats?,bf0403d21b
How can I make my API key load automatically in each project without typing export every time?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc files?,8b2f5e9d04
What do I put in my shell config so dirdotenv starts working when I open a new terminal?,8b2f5e9d04
"For a Python script, how do I read variables from a .env file in the project root?",8b2f5e9d04
What’s the safest way to keep OPENAI_API_KEY out of GitHub when I’m working locally or in Codespaces?,8b2f5e9d04
How do I decide on the best field weights in minsearch without just guessing?,87d4ea4e08
What’s the recommended way to tune search field weights for a RAG system?,87d4ea4e08
Should I use trial and error or some evaluation method when setting weights for different fields?,87d4ea4e08
How can I check which field-weight settings actually improve retrieval quality?,87d4ea4e08
Is there a better way to pick search weights than manually testing a few values?,87d4ea4e08
What kind of cleanup should I do before using docs in a RAG pipeline?,649c280e6d
"Should I keep things like titles, section headings, and page numbers when preparing data for retrieval?",649c280e6d
"Do I need to store my documents as JSON for RAG, or can I use another format?",649c280e6d
How do I chunk documents so they work better for retrieval without losing context?,649c280e6d
What metadata is worth keeping when I'm preprocessing documents for RAG?,649c280e6d
"I’m seeing ""Failed to hardlink files"" in GitHub Codespaces when using uv — is that actually an error or can I ignore it?",acf8fa5356
Why does uv complain about hardlinking in Codespaces even though the install seems to work fine?,acf8fa5356
What can I do to stop the uv hardlink warning from showing up in my current shell session?,acf8fa5356
How do I make uv always use copying instead of hardlinking so this warning doesn’t come back every time?,acf8fa5356
Does uv still install packages correctly when it can’t hardlink between its cache and the target environment?,acf8fa5356
My script says dotenv is not recognized. Which package do I need to install?,0bed1f48da
What should I add if I want to use load_dotenv in Python?,0bed1f48da
Is there a pip or uv package for dotenv support?,0bed1f48da
How do I fix the error when Python can’t find dotenv?,0bed1f48da
"After installing the dotenv package, what import should I use to load my .env file?",0bed1f48da
Can I do the module on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally?",aa310de435
"If I run the course on my machine, what tools do I need to install first?",aa310de435
"Do I have to use the shared environment, or is a local setup okay too?",aa310de435
What should I keep in mind if I choose to work through the course locally?,aa310de435
"If I keep working in Codespaces and never commit, will my code still be there in the VM?",610ccb23c0
"Does Codespaces automatically save my changes somewhere outside the Linux machine, or do I need to commit them?",610ccb23c0
What happens to my work in Codespaces if the session stops or the container gets deleted and I haven't committed yet?,610ccb23c0
"Is it safe to rely only on Codespaces storage, or should I push commits regularly to GitHub?",610ccb23c0
"Where is code stored when I'm editing in Codespaces, and why do people keep saying to commit often?",610ccb23c0
Why does WSL2 say the model needs more system memory than is available even though my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more memory on Windows so the model can run?,f3dd94f323
Where should I put the .wslconfig file to increase RAM for WSL2?,f3dd94f323
"What do I need to write in .wslconfig to allocate, say, 8GB to WSL2?",f3dd94f323
"After changing WSL2 memory settings, how can I check that the new RAM limit is actually applied?",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up"" when I try to open it?",830f3d2018
What should I do if my Codespace won’t reconnect after I stop and start it again?,830f3d2018
Is there a way to get Codespaces working if it only fails in the desktop VS Code app?,830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and is that normal?",830f3d2018
"If I have to delete or recreate the Codespace, how do I avoid losing my work?",830f3d2018
"Can I use a model provider other than OpenAI for the RAG homework, or is the course tied to OpenAI only?",c6ff9083c0
"If OpenAI is blocked where I live, what are the easiest alternatives I can plug into the course code?",c6ff9083c0
"Do I need to rewrite the code if I switch from OpenAI to something like Groq, OpenRouter, or DeepSeek?",c6ff9083c0
Can I run the model locally with Ollama or LM Studio instead of calling a hosted API?,c6ff9083c0
"If I host my own model on a GPU machine, will the course still work with it?",c6ff9083c0
"Why do I keep getting 429 errors when I run the notebook over lots of docs, and what should I change first?",8e21752415
How can I make OpenAI calls more reliable in the course so temporary rate-limit failures don’t crash everything?,8e21752415
What’s the best way to keep re-running a notebook without paying for the same embeddings or responses again?,8e21752415
"Should I use a bigger thread pool for faster processing, or does that make rate limits worse?",8e21752415
"If I’m hitting limits, is there a cheaper model or free provider I can switch to for the assignments?",8e21752415
"In agentic RAG, what exactly counts as a tool or function the model can call?",c296ea5a21
"Are tools and functions different things in this module, or should I treat them as the same?",c296ea5a21
When would an LLM decide to use a tool instead of answering from its own context?,c296ea5a21
How is tool use in agentic RAG different from the usual retrieval step in basic RAG?,c296ea5a21
Can you give examples of external actions a model might trigger with a tool or function?,c296ea5a21
What free models can I use if I need tool calling support for my agent?,0d74a3616f
Does Groq have any no-cost models that already support tools or function calls?,0d74a3616f
"Besides Groq, which other model providers can do tool use or function calling?",0d74a3616f
"If I switch away from OpenAI, will my tool schema or response parsing need changes?",0d74a3616f
Where can I read the docs for Groq tool use and supported models?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a Mistral or Groq model?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or can I use it with Gemini and other providers too?",9e7b3f0c25
"For a non-OpenAI model, should I switch from `response.output` to `response.choices[0].message.content`?",9e7b3f0c25
How do I change my code to use chat completions instead of the newer Responses API when the provider isn't OpenAI?,9e7b3f0c25
Do I need to rewrite the tools schema too if I'm using `chat.completions` with a provider other than OpenAI?,9e7b3f0c25
Why do I get the 400 error saying tools[0].function is missing when I try Azure OpenAI?,b9c7c6bb34
What should the weather tool JSON look like so Azure accepts it without that missing parameter error?,b9c7c6bb34
Do I need to wrap my tool definition inside a function field for the get_weather tool?,b9c7c6bb34
Can you show me the correct structure for the city parameter in the weather tool schema?,b9c7c6bb34
How should I define get_weather_tool so the request doesn't fail with invalid_request_error?,b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or some other non-OpenAI model, and what should I change?",0224d980b3
How can I make toyaikit work with Groq instead of OpenAI without hitting the Responses API error?,0224d980b3
"Is there a different runner/client in toyaikit for Anthropic models like Claude, and how do I set it up?",0224d980b3
"Do I need to use `runner.run()` for a quick test, or can I call something else directly in code?",0224d980b3
"What model names should I pass for Anthropic or Groq so I don’t get another 404, and is that `UnknownModelWarning` a real problem?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is the homework posted in the GitHub repo or only on the course platform?,53f15299b6
Can you point me to the 2026 Module 1 homework instructions link?,53f15299b6
I’m looking for the Module 1 cohort materials—where are they located?,53f15299b6
Do I need to check GitHub for anything extra besides the homework submission page?,53f15299b6
Why does my filtered query keep returning an empty list in Module 1 homework?,83da208a64
Could this be an indexing issue if my query results are always empty after filtering?,83da208a64
Do I need to set index settings before loading the data for Homework Q3?,83da208a64
Why are my filters and query not working even though the data is in Elasticsearch?,83da208a64
What should I check first when my homework search returns nothing after applying filters?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and is it because of max_output_tokens?",cfb07a27d5
How do I fix the OpenRouter 402 issue in my homework code without changing the whole setup?,cfb07a27d5
"In rag_helper.py, where exactly should I set max_output_tokens so OpenRouter stops rejecting my request?",cfb07a27d5
"For the ToyAIKit part of Module 1 Q6, how do I pass a lower output limit to the OpenAIClient?",cfb07a27d5
"If I already set the API key and base URL in .env, what else should I check when OpenRouter still fails with 402?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that mean I should build the search index from the split text pieces instead of the original docs?",b4300adeb1
"For the homework RAG pipeline, should I run `fit()` on `chunks` or on the full `documents` list?",b4300adeb1
Why does the homework solution use the chunked records for retrieval instead of the original documents?,b4300adeb1
"If I already have both `documents` and `chunks`, which one should the index search over in Module 1?",b4300adeb1
What changes in the prompt when RAG is using chunks rather than whole documents?,b4300adeb1
"For the LLM Zoomcamp homework, do the answers always need to match one of the choices exactly, or is a close numeric result okay?",5e4ca64cb5
"If my homework number is a little off from the listed options, should I still pick the nearest one?",5e4ca64cb5
What usually causes my homework answer to be slightly different from the multiple-choice options?,5e4ca64cb5
When should I worry that my homework result is too far from all the answers?,5e4ca64cb5
Is there any official guidance on what to do if my homework output doesn't exactly match the provided options?,5e4ca64cb5
Where should I check first when the homework task wording is confusing on the platform?,7d3a2e3505
"For Module 1, do I need to read the GitHub homework page or is the course site enough?",7d3a2e3505
Why does the homework sometimes seem different from what was taught in the lesson?,7d3a2e3505
"If I’m still stuck after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
"What should I include when asking about a homework issue, and is a screenshot okay?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a provider other than OpenAI?,fe8fed31e6
"If my client is OpenAI-compatible, where do I look in the response to get the prompt or input token count?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if the model response doesn't include any token usage info at all?,fe8fed31e6
"For the multiple-choice token-count question, what do I pick if my tokenizer estimate doesn't match exactly?",fe8fed31e6
"Why is my homework link getting a 500 or other non-200 error when the checker tries to open my repo URL, and what should I change?",bcdb8740ce
"Could the submission fail because my GitHub repo is private, and how do I make it accessible to the checker?",bcdb8740ce
Do I need to remove the .git part from the repository URL before submitting the homework?,bcdb8740ce
What's the easiest way to verify that the URL I submitted is publicly reachable before resubmitting?,bcdb8740ce
"I copied my repo link from GitHub, but the grader still says it can't fetch it — what common URL mistake should I look for?",bcdb8740ce
"What exactly are embeddings in vector search, and why do they turn text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning and context of data when converting it into numerical form?,69430a79a8
Why should similar pieces of text produce similar embedding vectors?,69430a79a8
How does the distance or closeness between embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, the vector space model, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" and sentence transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the message saying this model was made on sentence-transformers v3.0.0 beta?,aa3f597424
What should I install or upgrade to stop that warning from showing up in vector search?,aa3f597424
"Do I need a newer sentence-transformers version for multi-qa-mpnet-base-dot-v1, and what version fixes the warning?",aa3f597424
How can I update my setup so the sentence-transformers beta warning disappears?,aa3f597424
Why did the lesson use dot product directly for similarity instead of calculating cosine similarity the long way?,92cd22cada
"Are the OpenAI embeddings already normalized, or do I need to normalize them before comparing vectors?",92cd22cada
"In the homework, why isn’t dot product enough for TF-IDF plus SVD embeddings?",92cd22cada
What changes when embeddings are not unit length — does dot product still mean cosine similarity?,92cd22cada
Do I need to normalize vectors manually for the homework even though the lesson skipped that step?,92cd22cada
"For vector search, is there a best choice between embedding only the answer, only the question, or both together?",5c4a8d2e60
"When building the index, should I store embeddings from the question text, the answer text, or concatenate both?",5c4a8d2e60
Does it matter more to embed the user question or the FAQ answer for retrieval quality?,5c4a8d2e60
"In the vector search assignment, why would combining the question and answer sometimes work better than embedding just one of them?",5c4a8d2e60
"How should I decide which embedding setup is better: question only, answer only, or question plus text?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why does cosine similarity use the angle between vectors instead of the raw values?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be used on document vectors like word counts or TF-IDF?,db78580409
Why is cosine similarity useful for comparing two documents by their content?,db78580409
Why can cosine similarity be computed with a plain dot product once vectors are normalized?,95feb4e75b
"In vector search, why does normalizing embeddings make cosine similarity easier to calculate?",95feb4e75b
How does matrix multiplication end up giving cosine similarity scores for all docs at once?,95feb4e75b
"If embeddings are unit length, why does the query-doc similarity no longer depend on vector size?",95feb4e75b
What’s the reason cosine similarity between a query and all document embeddings can be done as a matrix multiply?,95feb4e75b
"For Module 2, should I create another GitHub repository, or is starting a fresh codespace from the same repo enough?",1e829a8c6f
"Do I need a separate repo for vector search, or can I just make a new codespace and keep using my current GitHub project?",1e829a8c6f
"Is Module 2 supposed to live in a brand-new GitHub repo, or only in a new Codespaces environment?",1e829a8c6f
Why do people say to use a separate codespace for Module 2 instead of keeping everything in the same one from Module 1?,1e829a8c6f
"If I set up Module 2 in a codespace and later delete it, will my code still be safe if I committed it to GitHub?",1e829a8c6f
Why does download.py stay stuck at 0% when it’s trying to get model.onnx from HuggingFace?,29b69fbe0b
"If the download script won’t move past 0%, what’s the easiest workaround to get the ONNX file locally?",29b69fbe0b
"Can I just grab model.onnx in my browser instead of waiting for download.py to finish, and where should I put it?",29b69fbe0b
"Why might HuggingFace downloads be blocked or extremely slow in this case, and is there a manual fix?",29b69fbe0b
"Once I place model.onnx in the right folder, will the script still try to download it again?",29b69fbe0b
Why do the matrix multiplication and the loop version of vector search not return exactly the same scores?,e889793af9
I tried comparing `X.dot(v_query)` with a Python loop and `np.allclose` says they’re different — is that a bug?,e889793af9
How can two ways of calculating the same dot products give slightly different numbers?,e889793af9
Should I worry if the vector search results differ only in the last few decimal places between the loop and matrix version?,e889793af9
What’s the right way to check whether the dot products from `dot` and a for-loop are equal?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
Could this error happen because my embeddings count doesn’t match my chunks?,1a7b27c4df
How should I build the embeddings so they line up with the chunk list?,1a7b27c4df
What’s the correct way to use the chunk contents before calling encode_batch?,1a7b27c4df
How do I check that the embedding matrix has the same number of rows as the chunks?,1a7b27c4df
Why is my Q2 cosine similarity for Module 2 homework not matching any of the multiple-choice answers?,eaa17a9dc6
"Do I need to use the `Embedder` from `embedder.py` in Homework 2, or can I use `sentence-transformers` like in the lessons?",eaa17a9dc6
Could the wrong embedding model be the reason my cosine similarity is way off from the answer choices?,eaa17a9dc6
"For the homework vector search question, should I embed the page `content` field or something else like the filename or full record?",eaa17a9dc6
"If my cosine similarity is only a little different from the listed options, should I just choose the closest one?",eaa17a9dc6
How do I set up Gemini API key for Kestra and why do I need both a normal env var and a SECRET_ one?,3860e5fe8b
What’s the right way to export OpenAI and Tavily keys so Kestra flows can use them?,3860e5fe8b
"After I set the API keys, do I need to restart Kestra or is it enough to just export them in the shell?",3860e5fe8b
"In a Kestra YAML flow, how do I reference a secret like Gemini without typing the SECRET_ part?",3860e5fe8b
Why is my Kestra flow not seeing the Gemini key even though I already set GEMINI_API_KEY in my terminal?,3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and how do I make it work?",04440cab11
Do I need a different Gemini variable for Kestra Copilot than the one used in the flows?,04440cab11
What exactly should I export before starting Kestra so the AI Copilot doesn’t refuse every request?,04440cab11
"If I already set a Gemini key and the Copilot still doesn’t work, what should I check next?",04440cab11
"Could this be a quota or rate-limit problem with Gemini, and how do I tell?",04440cab11
My Kestra flow says the Gemini key is missing or invalid even though I exported SECRET_GEMINI_API_KEY — what am I doing wrong?,c8ca21af33
Could a bad base64 encoding be the reason my SECRET_GEMINI_API_KEY works in shell but fails inside Kestra?,c8ca21af33
"Do I need to restart Kestra after setting the env vars, or should it pick them up automatically?",c8ca21af33
"When I use a secret in a flow, should I write SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the secret call?",c8ca21af33
Is it better to keep these keys in a .env file and pass it to docker compose instead of exporting them in the terminal?,c8ca21af33
Why do we need an orchestrator like Kestra if I can already run everything in a notebook?,193612db63
What’s the point of using Kestra instead of just a plain script for an AI workflow?,193612db63
"In this module, why is Kestra used for more than just scheduling jobs?",193612db63
"How does Kestra help with things like retries, monitoring, secrets, and chaining tasks together?",193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in a Kestra flow without rewriting the whole thing?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the capstone project, can I use Airflow, Prefect, Dagster, or even no orchestrator at all?",cce328db64
"If I just write a Python script to ingest and index my data, is that enough for the project points?",cce328db64
Why does the course use Kestra in Module 3 instead of Airflow or some other orchestrator?,cce328db64
Can I try the Kestra module once and still use a different tool later for my own project?,cce328db64
"Can I use Groq, Ollama, or some local model in Kestra instead of Gemini?",f442efe5b4
Which AI providers work with Kestra's AI plugin besides Gemini?,f442efe5b4
Do I have to rewrite my flow if I switch from Gemini to OpenAI-compatible provider?,f442efe5b4
What's the difference between Kestra's generic AI plugin and the provider-specific ones?,f442efe5b4
"If a provider is OpenAI-compatible but has no dedicated plugin, how do I connect it in Kestra?",f442efe5b4
"Is there a way to build a Kestra flow without editing YAML by hand, like a form-based setup?",bfe5502c30
Does Kestra have any AI helper that can turn a plain-English description into a workflow?,bfe5502c30
Can I create Kestra flows from my editor using tools like Claude Code or Codex instead of the web UI?,bfe5502c30
How is Kestra different from Airflow when it comes to separating the script logic from the workflow definition?,bfe5502c30
"For really simple automations, should I just use Zapier or n8n instead of Kestra?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket and name for GCS uploads, and what should I use instead?",93a3e8b98c
