question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Why do I show up under a random name on the leaderboard, and can I change it?",c2903069a0,good,"The agent’s answer matches the ground truth well. It explains that the random leaderboard name is the default automatically assigned public/display name, and that the user can change it in Edit Course Profile. It also correctly identifies that the first field controls the displayed nickname and the second field is the official certificate name. This captures the key points from the original answer, though it omits the specific instruction about using the “Jump to your record on the leaderboard” link and the note about the certificate name being mandatory to avoid the random name on the certificate.",good,"The search query was relevant to the question and included key ideas like leaderboard, random name, and change it. Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Where can I check what my display name is for the course?,c2903069a0,good,"The agent’s answer matches the ground truth on the key point: the display name can be checked in “Edit Course Profile.” It also correctly describes the first field as the nickname/displayed name and the second as the official certificate name. It omits the extra detail about the randomized assigned name and the leaderboard link, but that is not essential to the question.",good,"The search query was relevant to the question and contained the main keywords about display name and course. Only one search call was made, which is reasonable here. The tool call supported the final answer, even though the answer itself was direct and likely did not require search."
What’s the difference between the nickname field and the official name field in my course profile?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly explains that the nickname/display name is the public name used on the leaderboard and can be any nickname or username, while the official name should match ID documents and appears on the certificate. It omits some extra context from the original about the automatically assigned random name and where to edit the profile, but the core distinction is correct.",good,"The search query was relevant and contained the key concepts from the question ('nickname field', 'official name field', 'course profile difference'). Only one search was needed, and the tool use was reasonable and supported the final answer."
How do I make sure my certificate shows my real name instead of the default one?,c2903069a0,good,"The agent’s answer matches the ground truth key points: it instructs the user to use Edit Course Profile, explains that the first field is the display/nickname name, and that the second field should be set to the official/legal name that appears on the certificate. This is the essential information needed to answer the question correctly. Minor wording differences do not change the meaning.",good,"The search query is relevant to the question because it mentions certificate, real name, default name, profile name, and name shown on certificate. Only one search call was used, which is reasonable since the answer is straightforward and the query sufficiently targeted the needed information. The tool call supports the final answer."
Can I take the course on my own schedule and still get the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that you can only get a certificate by finishing with a live cohort, and that self-paced mode does not award certificates because peer-review of 3 capstones is required while the course is running. This preserves the key details from the original answer.",good,"The search query was relevant to the question and included important concepts like self-paced, schedule, and certificate. Only one search was used, which is reasonable for a straightforward FAQ lookup. The tool call supported the final answer."
Do you give certificates to people who do the self-paced version?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says that certificates are only awarded for the live cohort, not the self-paced version, and it includes the key reason that peer-review of capstone projects must happen while the cohort is running.",good,"The single search query is relevant and concise, containing the main topic of certificates and self-paced version. One search call is reasonable for this straightforward FAQ question, and there were no unnecessary duplicate calls."
Why isn't there a certificate if I go through the course later by myself?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only available for completing the course with a live cohort, not in self-paced mode, and it includes the key reason: the need to peer-review 3 capstone projects while the course is actively running before the review list closes. This preserves the essential meaning of the original answer.",good,"The tool call was reasonable and relevant. The search query included the main ideas from the question (certificate, course later/by myself, self-paced, FAQ). Only one search was needed, and there were no redundant or unnecessary calls."
Do I have to join a live cohort to qualify for the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth on the key points: a live cohort is required, self-paced mode does not earn a certificate, and the reason is the peer-review requirement during the active course. It is slightly less complete because it omits the detail about peer-reviewing 3 capstones and the course form closing, but the main answer is correct.",good,"The search query was relevant and included the important keywords from the question (“certificate,” “live cohort,” “qualify for certificate”). Only one search was used, which is reasonable for a straightforward FAQ lookup, and it supported the final answer."
"Is the peer-review part required for the certificate, or can I skip it if I study solo?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that the peer-review component is required for the certificate, that certificates are only available through a live cohort, and that self-paced/solo study does not qualify. It also mentions the need to peer-review 3 capstone projects, which is consistent with the original answer.",good,"The search query included the main concepts from the question (peer-review, certificate, solo/self-paced). One search was sufficient and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
"If I skipped the first homework, can I still earn the course certificate?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, that skipping the first homework does not prevent earning the certificate, and that passing the Capstone project is required. It also correctly notes homework points affect leaderboard rank and are recommended for practice.",good,"The single search query was relevant to the question and included the key concepts of homework and certificate eligibility. One search was sufficient, and there were no unnecessary or duplicate tool calls."
Do I have to complete every homework assignment to get certified?,9f689c185f,good,"The agent’s answer matches the ground truth. It correctly says homework is not mandatory for certification, that passing the Capstone project is required for the certificate, and that homework is recommended and affects leaderboard rank. This contains the key information from the original answer.",good,"The agent made one search using the exact question phrasing, which is relevant and sufficient. There were no unnecessary duplicate searches, and the tool call supported the final answer."
Is the Capstone project the only requirement for the certificate?,9f689c185f,bad,"The agent answer does not match the ground truth. The original answer says the Capstone project is required, homework is not mandatory, and homework points only affect leaderboard rank. The agent adds an extra requirement about completing peer reviews in live cohort mode, which is not present in the ground truth and changes the meaning of the answer. Although it correctly states that homework is not mandatory, the inclusion of peer review makes the answer inaccurate relative to the provided reference.",good,"The tool use was reasonable: a single search query directly targeted the question and included the key term 'Capstone project' and the certificate requirement. One search was sufficient, and there were no unnecessary duplicate calls."
What happens if I miss some homework in this course?,9f689c185f,bad,"The agent’s answer does not match the ground truth. The original answer says homework is not mandatory, but is recommended for reinforcing concepts, and that homework points count toward leaderboard rank. The agent correctly says homework is not mandatory and points count toward leaderboard rank, but it adds unsupported details about late submissions and deadline extensions, and it omits the recommendation/reinforcing-concepts part. Also, the ground truth text oddly starts with Capstone/certificate information, but the question is specifically about missed homework, so the key homework policy should be captured. Overall, partial but not fully correct.",good,"The single search query is relevant to the question about missing homework and includes useful keywords like homework, late homework, and assignments. One search call is reasonable. However, the tool call did not clearly refine or verify the exact policy, and the final answer includes unsupported specifics not grounded in the provided answer."
"Are homework points required for the certificate, or just for the leaderboard?",9f689c185f,good,"The agent's answer matches the ground truth. It correctly states that homework points are not required for the certificate, that passing the Capstone project is required for the certificate, and that homework points count toward leaderboard ranking and are recommended for reinforcement.",good,"The single search query included the key concepts from the question: homework points, certificate, leaderboard, and required. One search call was sufficient, and there were no unnecessary or duplicate tool calls."
Why does the homework keep changing while I’m trying to work on it?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly explains that a `[DRAFT]` title means the homework is not ready yet, that readiness requires both the form being open and the title not containing `[DRAFT]`, and that the content can still change so working early is at the student’s own risk. This preserves the key information and meaning of the original answer.",good,"The single search query was relevant to the question and included the main idea of the user’s concern about the homework changing. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer appropriately."
How do I know if a homework assignment is actually ready and not still being edited?,96286b4be4,good,"The agent answer matches the ground truth well. It correctly states that a homework is ready only when the form is open on the course management platform and the title does not contain [DRAFT]. It also correctly explains that [DRAFT] means it is not ready and may still change, and that working early is at the student’s own risk. This preserves the key information from the original answer.",good,"The single search query was relevant and contained key ideas from the question such as homework being ready, editing, and FAQ context. One search was reasonable, and there were no unnecessary duplicate calls. The tool use supported the final answer appropriately."
What does the [DRAFT] label in the homework title mean?,96286b4be4,good,"The agent answer matches the ground truth closely. It states that a [DRAFT] homework title means the homework is not ready yet, and includes the two readiness conditions: the homework form must be open and the title must not contain [DRAFT]. It also correctly notes that the content may still change and that working in advance is at your own risk. This preserves the key information from the original answer.",good,"The single search query was relevant and used an important keyword from the question ([DRAFT]). One search is reasonable for this simple FAQ-style question, and there were no unnecessary duplicate calls. The tool use supports the final answer adequately."
"If the homework form is already open, does that mean the assignment is finalized?",96286b4be4,good,"The agent answer matches the ground truth. It correctly states that an open homework form alone does not mean the assignment is finalized, and it includes the key condition that the title must not contain [DRAFT] for it to be considered ready. It also preserves the idea that the content can still change.",good,"The single search query was relevant to the question and contained key terms like homework form, open, and finalized. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer."
Is it safe to start homework early before the final version is posted?,96286b4be4,good,"The agent answer matches the ground truth. It states that starting early is allowed only at your own risk, and it correctly identifies the two conditions for homework readiness: the form being open on the course platform and the title not containing [DRAFT]. It also conveys that the content can still change before then. This preserves the key information from the original answer.",good,"The search query was relevant to the user’s question and included the core idea of starting homework early before the final version is posted. Only one search call was made, which is reasonable for this simple FAQ-style question. There were no unnecessary duplicate calls, and the tool use was compatible with the final answer."
When is the next time this course will run?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states that the course will next run in Summer 2027. No missing or conflicting information is present.,good,"The single search query is relevant to the question and asks about the next offering/upcoming run schedule. One search call is reasonable, and there were no unnecessary duplicate calls. The tool use supports the final answer."
Do you know when the next course offering starts?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states that the next course offering starts in Summer 2027. No key information is missing or altered.,good,"The single search query was relevant to the question and included appropriate keywords about the next course offering and start date. One tool call was sufficient, and there were no unnecessary or duplicate searches."
What’s the next available session for this course?,bd31146b0e,good,The agent's answer exactly matches the ground truth key information: the next available session is Summer 2027. No missing or contradictory details.,good,"The agent made a single relevant search query about the next available session and upcoming course schedule. One search is reasonable for this simple question, and the query aligns with the user's wording."
Is there a date for the upcoming run of the course?,bd31146b0e,bad,"The agent did not match the ground truth. The correct answer is that the upcoming run is in Summer 2027, but the agent said it could not find a specific date and only provided general information about registration timing. This misses the key factual answer.",good,"The search query was relevant in a broad sense, but it was too generic and did not include the key likely phrase from the FAQ such as 'Summer 2027' or 'upcoming run'. Only one search was made, which is reasonable, but it failed to directly target the needed date information. The tool use was acceptable but not sufficient for finding the correct answer."
When can I expect this course to be offered again?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it says the course will be offered again in Summer 2027. No missing or conflicting information.,good,"The search query was relevant to the question and included key terms like 'when', 'course offered again', and 'FAQ'. Only one search call was made, which is reasonable for a straightforward factual lookup. The tool call supported the final answer."
Where can I find the course videos or lectures for this zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has relevant videos linked at the top, and advises following the GitHub repo first because it is easier to keep updated than the YouTube playlist. This contains all key information from the original answer.",good,"The single search query was relevant to the user’s question and contained key terms like course videos, lectures, and zoomcamp. Only one search was used, which is reasonable here, and the tool call supports the final answer."
Is there a main page or repo I should open first to get to the lesson videos?,31456f4b5f,good,"The agent answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that lesson pages link the relevant videos at the top, and mentions that the GitHub repo is better to follow first because it is more up to date than the YouTube playlist. This contains all key information from the original answer.",good,"The single search query was only loosely relevant and did not include the key terms from the question such as 'LLM Zoomcamp' or 'GitHub repository.' However, only one search call was made, which is reasonable, and there were no unnecessary duplicate calls. The tool use was minimal and did not hinder the final answer."
"Do I need to use the YouTube playlist, or is there a better place to find the lesson links?",31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly says the YouTube playlist is not the main source, identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant video links, and mentions that the repo is easier to keep updated than the playlist. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and contains the core idea about lesson links and the YouTube playlist. While it is somewhat generic and not as targeted as it could be (it did not explicitly include 'LLM Zoomcamp GitHub repository'), one search call is reasonable here and the agent did not make unnecessary duplicate calls. The tool use supported the final answer adequately."
How do I find the videos for each lesson in the LLM Zoomcamp materials?,31456f4b5f,good,"The agent’s answer matches the ground truth closely. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and that each lesson page has the relevant videos linked at the top. It also includes the guidance to prefer the GitHub repo over the YouTube playlist because it stays updated more easily. The added repo link is consistent with the original answer.",good,"The single search query was relevant to the question and included key terms like LLM Zoomcamp, videos, and lesson materials. One search is sufficient here, and there were no unnecessary or duplicate tool calls. The tool call reasonably supported the final answer."
"If I’m lost, what’s the easiest place to start looking for the lecture recordings?",31456f4b5f,bad,"The agent’s answer partially matches the ground truth because it mentions the LLM Zoomcamp GitHub repository, which is the key entry point. However, it adds the docs and course management platform, which are not part of the original answer and omits the important details that the repo should be the main starting point, that lesson folders contain the linked videos at the top, and that the GitHub repo is preferred over the YouTube playlist because it is easier to keep updated. So the answer is only partially correct but not fully aligned with the FAQ response.",good,"The single search query was broadly relevant, but it was vague and did not include the important course-specific keywords like 'LLM Zoomcamp GitHub repository' or 'lesson folders'. Still, one search is reasonable for this question, and there were no unnecessary duplicate calls. The tool use was minimal but only mildly helpful."
